期号,开奖日期,前区 1,前区 2,前区 3,前区 4,前区 5,后区 1,后区 2,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,奖池金额,总投注额
26041,2026-04-18,24,25,27,29,34,02,06,6,8170700,94,230708,804564900,342918690
26040,2026-04-15,06,12,13,21,34,08,09,6,7492423,118,125628,776038689,322412866
26039,2026-04-13,09,11,20,26,27,06,09,11,5717710,175,50714,760888094,321747230
26038,2026-04-11,08,17,21,33,35,06,07,2,10000000,174,92288,799997856,343632778
26037,2026-04-08,07,12,13,28,32,06,08,5,8402519,133,119807,756781636,324524682
26036,2026-04-06,04,07,16,26,32,05,08,9,6291520,114,106441,732445105,298882570
26035,2026-04-04,02,22,30,33,34,08,12,11,6715340,91,180483,744740092,324023066
26034,2026-04-01,11,12,25,26,27,08,11,6,6785341,215,59275,745020716,321281232
26033,2026-03-30,03,05,07,09,18,02,10,12,5620374,250,29556,743671788,319640788
26032,2026-03-28,03,04,19,26,32,01,12,6,8149825,141,117451,787204236,342713464
26031,2026-03-25,06,08,22,29,34,05,07,9,7576500,82,285678,762397268,321190415
26030,2026-03-23,02,13,22,28,34,05,12,8,7605701,97,179985,801741817,316922568
26029,2026-03-21,03,05,17,33,35,05,07,6,7877022,144,115812,834276730,337467964
26028,2026-03-18,15,27,29,30,34,01,10,1,10000000,63,280368,861344046,303460918
26027,2026-03-16,09,10,11,12,16,01,11,7,6985349,166,86031,799972392,307838475
26026,2026-03-14,10,11,22,26,32,01,08,3,9638333,119,145339,794063794,330044286
26025,2026-03-11,03,15,24,28,29,03,07,10,5872341,147,62745,761949362,299297449
26024,2026-03-09,02,04,08,10,21,09,12,3,9889639,138,87504,790603787,293616732
26023,2026-03-07,09,25,26,27,28,01,08,6,7177297,109,138525,763063925,323009849
26022,2026-03-04,05,09,10,18,26,05,06,10,5746008,261,27678,753076288,294728612
26021,2026-03-02,05,08,12,14,17,04,05,7,6463717,161,73420,783711295,291691198
26020,2026-02-28,01,10,21,23,29,10,12,3,10000000,77,219344,823831821,319278064
26019,2026-02-25,12,13,14,16,31,04,12,8,7528120,72,275339,780263624,356165890
26018,2026-02-11,09,11,19,30,35,01,12,7,6692203,86,208790,761611231,349431305
26017,2026-02-09,04,05,10,23,31,07,12,6,7044236,104,141471,762704025,314171855
26016,2026-02-07,08,09,12,19,24,01,06,13,5925957,243,50303,755649052,333666762
26015,2026-02-04,01,04,10,13,17,03,11,4,9339920,98,175350,829148796,310086553
26014,2026-02-02,16,18,23,34,35,01,06,2,10000000,81,242159,842732986,318884035
26013,2026-01-31,03,05,06,23,26,01,04,10,6149358,409,26110,782886373,350779828
26012,2026-01-28,01,02,09,22,25,01,06,5,6986204,131,102374,799554979,318917948
